link_booking,name_booking,precio_booking,rating_booking,review_booking
www.airbnb.com.pe/rooms/27381858?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=609143690&search_mode=regular_search&check_in=2024-12-14&check_out=2024-12-19&source_impression_id=p3_1730060245_P3JRQaJRpeyw3uLp&previous_page_section_name=1000,Hab X 2 :) Hospital Sant Pau y Sagrada Familia,153,4.56,209
www.airbnb.com.pe/rooms/1233912067738312329?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1983896100&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1730060249_P3yXFNa0CwnklzlD&previous_page_section_name=1000,Habitación privada La Eixample para 2 personas,444,4.38,8
www.airbnb.com.pe/rooms/16762460?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=951434518&search_mode=regular_search&check_in=2025-01-06&check_out=2025-01-11&source_impression_id=p3_1730060253_P3Ls-cuoW4rvpGht&previous_page_section_name=1000,Hogar compartido.,199,4.77,430
www.airbnb.com.pe/rooms/563396040001104055?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730060257_P3aA6DdvqpZiTMt-&previous_page_section_name=1000,Acogedor dormitorio de 6 plazas,124,4.37,121
www.airbnb.com.pe/rooms/1018087113579414014?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1774183212&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730060261_P3MrbTEvBMrCmSXG&previous_page_section_name=1000,Habitación con dos camas separadas.,114,4.68,37
www.airbnb.com.pe/rooms/1093431054711914255?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1904575728&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1730060265_P33lBDi6boXcxsik&previous_page_section_name=1000,Habitación céntrica baño privado,354,4.79,47
www.airbnb.com.pe/rooms/1116642533191974191?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1905017508&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730060269_P3RssBzS5w7k0J3m&previous_page_section_name=1000,Habitación individual,187,4.46,41
www.airbnb.com.pe/rooms/40447482?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1665978344&search_mode=regular_search&check_in=2024-11-18&check_out=2024-11-23&source_impression_id=p3_1730060273_P3UgnheJ0SP6MXC5&previous_page_section_name=1000,Habitación doble grande en el centro,142,4.82,39
www.airbnb.com.pe/rooms/21711501?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-30&check_out=2024-12-05&source_impression_id=p3_1730060277_P3h1HfQ2vR9iOHKV&previous_page_section_name=1000,"Sencillo, moderno y cerca de la playa",302,4.77,1236
www.airbnb.com.pe/rooms/1218645303173234166?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1971156620&search_mode=regular_search&check_in=2025-01-07&check_out=2025-01-12&source_impression_id=p3_1730060281_P3imORvbplFU_W-n&previous_page_section_name=1000,Habitación Individual,162,4.93,15
www.airbnb.com.pe/rooms/27127886?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1198245423&search_mode=regular_search&check_in=2025-01-14&check_out=2025-01-19&source_impression_id=p3_1730060284_P32gn1-ckyGvAHlU&previous_page_section_name=1000,Cómoda y luminosa. Muy cerca Campo del Barça WIFI,146,4.92,284
www.airbnb.com.pe/rooms/1221751561372481946?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1973735631&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730060288_P3W8GPv_BqUofmSG&previous_page_section_name=1000,Habitacion individual,124,4.72,18
www.airbnb.com.pe/rooms/41822352?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1877977358&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730060292_P3xRzuc-JIHXQ1wL&previous_page_section_name=1000,Balcón privado para 2 personas cerca de la Sagrada Familia,374,4.91,23
www.airbnb.com.pe/rooms/583987826544046548?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2014996220&search_mode=regular_search&check_in=2025-01-02&check_out=2025-01-07&source_impression_id=p3_1730060295_P3Xl-nlKj8lUyuHQ&previous_page_section_name=1000,Precioso apartamento  cerca  ala estación de sants,101,4.6,189
www.airbnb.com.pe/rooms/982574005765784708?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730060299_P3V2Nug9u_dbywMF&previous_page_section_name=1000,Bienvenido Apart. Bergueda Street,271,5.0,7
www.airbnb.com.pe/rooms/6833040?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=680690576&search_mode=regular_search&check_in=2024-12-11&check_out=2024-12-16&source_impression_id=p3_1730060303_P3WKIrI2iXf47M-_&previous_page_section_name=1000,Habitación Privada cerca del Estadio Camp Nou,130,4.52,292
www.airbnb.com.pe/rooms/15593934?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1756964401&search_mode=regular_search&check_in=2025-01-10&check_out=2025-01-15&source_impression_id=p3_1730060306_P3UF63JrAmB6KObs&previous_page_section_name=1000,Bonita habitación barata y céntrica de 31 días en Barcelona,163,4.81,502
www.airbnb.com.pe/rooms/1202828460995202150?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-08&check_out=2024-12-13&source_impression_id=p3_1730060310_P3_fIYp3KjjfbRqg&previous_page_section_name=1000,Palacio de la Música 9,645,4.75,4
www.airbnb.com.pe/rooms/27381858?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=609143690&search_mode=regular_search&check_in=2024-12-14&check_out=2024-12-19&source_impression_id=p3_1730060314_P3_3De6ZJNAemumL&previous_page_section_name=1000,Hab X 2 :) Hospital Sant Pau y Sagrada Familia,153,4.56,209
www.airbnb.com.pe/rooms/1233912067738312329?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1983896100&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1730060318_P3b2BkGpgUOZwZUa&previous_page_section_name=1000,Habitación privada La Eixample para 2 personas,444,4.38,8
www.airbnb.com.pe/rooms/16762460?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=951434518&search_mode=regular_search&check_in=2025-01-06&check_out=2025-01-11&source_impression_id=p3_1730060322_P3yKrWHlL7G6Y7py&previous_page_section_name=1000,Hogar compartido.,199,4.77,430
www.airbnb.com.pe/rooms/563396040001104055?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730060326_P3oen6p5dc43h5oq&previous_page_section_name=1000,Acogedor dormitorio de 6 plazas,124,4.37,121
www.airbnb.com.pe/rooms/1018087113579414014?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1774183212&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730060329_P3pfFU_B9H_vMCiI&previous_page_section_name=1000,Habitación con dos camas separadas.,114,4.68,37
www.airbnb.com.pe/rooms/1093431054711914255?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1904575728&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1730060333_P3BkaC7vr-3u99J6&previous_page_section_name=1000,Habitación céntrica baño privado,354,4.79,47
www.airbnb.com.pe/rooms/1116642533191974191?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1905017508&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730060336_P3Lx_uQkZ8nz6gEb&previous_page_section_name=1000,Habitación individual,187,4.46,41
www.airbnb.com.pe/rooms/40447482?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1665978344&search_mode=regular_search&check_in=2024-11-18&check_out=2024-11-23&source_impression_id=p3_1730060340_P3--JbksG3BFJ40V&previous_page_section_name=1000,Habitación doble grande en el centro,142,4.82,39
www.airbnb.com.pe/rooms/21711501?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-30&check_out=2024-12-05&source_impression_id=p3_1730060344_P3jUGLXSirhsFI-5&previous_page_section_name=1000,"Sencillo, moderno y cerca de la playa",302,4.77,1236
